Geocode,Geographic name,Sex,Data quality flag,Census Years,Note,0 to 14 years (counts),0 to 14 years (% distribution),15 to 64 years (counts),15 to 64 years (% distribution),65 years and over (counts),65 years and over (% distribution),Total (counts),Total (% distribution),Median age,   
62,Nunavut,Both sexes,02000,1921,5,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Both sexes,02000,1931,4,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Both sexes,02000,1941,4,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Both sexes,02000,1951,3,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Both sexes,02000,1961,2,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Both sexes,02000,1971,1,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Both sexes,02000,1981,1,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Both sexes,02000,1991,1,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Both sexes,02000,2001, ,9925,37.1,16225,60.7,595,2.2,26745,100,22.1,   
62,Nunavut,Both sexes,02000,2011, ,10425,32.7,20420,64,1060,3.3,31905,100,24.1,   
62,Nunavut,Females,02000,1921,5,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Females,02000,1931,4,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Females,02000,1941,4,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Females,02000,1951,3,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Females,02000,1961,2,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Females,02000,1971,1,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Females,02000,1981,1,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Females,02000,1991,1,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Females,02000,2001, ,4805,37.2,7865,60.9,235,1.8,12905,100,21.9,   
62,Nunavut,Females,02000,2011, ,5085,32.8,9930,64,495,3.2,15510,100,24.2,   
62,Nunavut,Males,02000,1921,5,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Males,02000,1931,4,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Males,02000,1941,4,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Males,02000,1951,3,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Males,02000,1961,2,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Males,02000,1971,1,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Males,02000,1981,1,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Males,02000,1991,1,...,...,...,...,...,...,...,...,...,   
62,Nunavut,Males,02000,2001, ,5120,37,8355,60.4,365,2.6,13840,100,22.3,   
62,Nunavut,Males,02000,2011, ,5340,32.6,10490,64,570,3.5,16395,100,24,   
,,,,,,,,,,,,,,,
Random rounding and percentage distributions,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"To ensure the confidentiality of responses collected for the 2011 Census, a random rounding process is used to alter the values reported in individual cells. As a result, when these data are summed or grouped, the total value may not match the sum of the individual values, since the total and subtotals are independently rounded. Similarly, percentage distributions, which are calculated on rounded data, may not necessarily add up to 100%.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data quality note(s),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Digit Description,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1st (0XXXX) Incomplete enumeration flag,,,,,,,,,,,,,,,
2nd (X0XXX) Data quality flag,,,,,,,,,,,,,,,
3rd (XX0XX) Population and dwelling counts error flag,,,,,,,,,,,,,,,
4th (XXX0X) Not applicable,,,,,,,,,,,,,,,
5th (XXXX0) 2006 adjusted population flag,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Flag description,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Incomplete enumeration flag,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0 = Default.,,,,,,,,,,,,,,,
1 = Incompletely enumerated Indian reserve or Indian settlement (suppressed).,,,,,,,,,,,,,,,
2 = Excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data quality flag,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0 = Default.,,,,,,,,,,,,,,,
1 = Data quality index showing a global non response rate higher than or equal to 5% but lower than 10%.,,,,,,,,,,,,,,,
2 = Data quality index showing a global non response rate higher than or equal to 10% but lower than 25%.,,,,,,,,,,,,,,,
3 = Data quality index showing a global non response rate higher than or equal to 25% (suppressed).,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Population and dwelling counts error flag,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0 = Default.,,,,,,,,,,,,,,,
"1 = An error exists in the 2011 population and dwelling counts for this area. For further details, please refer to the Population and dwelling count amendments, 2011 Census (http://www12.statcan.gc.ca/census-recensement/news-nouvelles/corr/cgen004-eng.cfm).",,,,,,,,,,,,,,,
"2 = In 2006, the population and/or dwelling counts for this census subdivision were found to be incorrect. Since it is not possible to make changes to the 2006 Census data presented in these tables, the 2006 data should be used with caution. For further details, please refer to the Population and dwelling count amendments, 2011 Census (http://www12.statcan.gc.ca/census-recensement/news-nouvelles/corr/cgen004-eng.cfm).",,,,,,,,,,,,,,,
"3 = Both the 2011 and 2006 population and/or dwelling counts for this area were found to be incorrect. Since it is not possible to make changes to the census data presented in these tables, these counts should be used with caution. For further details, please refer to the Population and dwelling count amendments, 2011 Census (http://www12.statcan.gc.ca/census-recensement/news-nouvelles/corr/cgen004-eng.cfm).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Not applicable,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0 = Default.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2006 adjusted population flag,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0 = Default.,,,,,,,,,,,,,,,
1 = 2006 adjusted count; most of these are the result of boundary changes.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Source: Statistics Canada, 2011 Census of Population.",,,,,,,,,,,,,,,
"How to cite: Statistics Canada. 2012. Age and Sex 2011 counts for both sexes for Canada provinces and territories, Age and Sex Highlight Tables. 2011 Census. Statistics Canada Catalogue no. 98-311-XWE2011002. Ottawa. released May 29,2012",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,
"1. Prior to its creation as a territory on April 1, 1999, Nunavut was part of the Northwest Territories.",,,,,,,,,,,,,,,
"2. Prior to its creation as a territory on April 1, 1999, Nunavut was part of the Northwest Territories. The figures for this census year have not been subjected to random rounding.",,,,,,,,,,,,,,,
"3. Prior to its creation as a territory on April 1, 1999, Nunavut was part of the Northwest Territories. The figures for this census year have not been subjected to random rounding. Median age is calculated from population estimates for this census year.",,,,,,,,,,,,,,,
"4. Prior to its creation as a territory on April 1, 1999, Nunavut was part of the Northwest Territories. The figures for this census year have not been subjected to random rounding. Median age is calculated from population estimates for this census year. Newfoundland and Labrador became a province of Canada in 1949.",,,,,,,,,,,,,,,
"5. Prior to its creation as a territory on April 1, 1999, Nunavut was part of the Northwest Territories. The figures for this census year have not been subjected to random rounding. Median age is calculated from population estimates for this census year. Newfoundland and Labrador became a province of Canada in 1949.",,,,,,,,,,,,,,,
"The figure for 1921, Canada, includes 485 members of the Royal Canadian Navy whose province of residence is not known.",,,,,,,,,,,,,,,
"6. The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'.",,,,,,,,,,,,,,,
